Node,Num,X,Y,Z,UX,UY,UZ
1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.182,0.0,0.0,0.0,0.0,0.0,
3.0,0.00298,0.0,0.0,0.0,0.0,0.0,
4.0,0.00597,0.0,0.0,0.0,0.0,0.0,
5.0,0.00895,0.0,0.0,0.0,0.0,0.0,
6.0,0.01193,0.0,0.0,0.0,0.0,0.0,
7.0,0.01492,0.0,0.0,0.0,0.0,0.0,
8.0,0.0179,0.0,0.0,0.0,0.0,0.0,
9.0,0.02089,0.0,0.0,0.0,0.0,0.0,
10.0,0.02387,0.0,0.0,0.0,0.0,0.0,
11.0,0.02685,0.0,0.0,0.0,0.0,0.0,
12.0,0.02984,0.0,0.0,0.0,0.0,0.0,
13.0,0.03282,0.0,0.0,0.0,0.0,0.0,
14.0,0.0358,0.0,0.0,0.0,0.0,0.0,
15.0,0.03879,0.0,0.0,0.0,0.0,0.0,
16.0,0.04177,0.0,0.0,0.0,0.0,0.0,
17.0,0.04475,0.0,0.0,0.0,0.0,0.0,
18.0,0.04774,0.0,0.0,0.0,0.0,0.0,
19.0,0.05072,0.0,0.0,0.0,0.0,0.0,
20.0,0.0537,0.0,0.0,0.0,0.0,0.0,
21.0,0.05669,0.0,0.0,0.0,0.0,0.0,
22.0,0.05967,0.0,0.0,0.0,0.0,0.0,
23.0,0.06266,0.0,0.0,0.0,0.0,0.0,
24.0,0.06564,0.0,0.0,0.0,0.0,0.0,
25.0,0.06862,0.0,0.0,0.0,0.0,0.0,
26.0,0.07161,0.0,0.0,0.0,0.0,0.0,
27.0,0.07459,0.0,0.0,0.0,0.0,0.0,
28.0,0.07757,0.0,0.0,0.0,0.0,0.0,
29.0,0.08056,0.0,0.0,0.0,0.0,0.0,
30.0,0.08354,0.0,0.0,0.0,0.0,0.0,
31.0,0.08652,0.0,0.0,0.0,0.0,0.0,
32.0,0.08951,0.0,0.0,0.0,0.0,0.0,
33.0,0.09249,0.0,0.0,0.0,0.0,0.0,
34.0,0.09548,0.0,0.0,0.0,0.0,0.0,
35.0,0.09846,0.0,0.0,0.0,0.0,0.0,
36.0,0.10144,0.0,0.0,0.0,0.0,0.0,
37.0,0.10443,0.0,0.0,0.0,0.0,0.0,
38.0,0.10741,0.0,0.0,0.0,0.0,0.0,
39.0,0.11039,0.0,0.0,0.0,0.0,0.0,
40.0,0.11338,0.0,0.0,0.0,0.0,0.0,
41.0,0.11636,0.0,0.0,0.0,0.0,0.0,
42.0,0.11934,0.0,0.0,0.0,0.0,0.0,
43.0,0.12233,0.0,0.0,0.0,0.0,0.0,
44.0,0.12531,0.0,0.0,0.0,0.0,0.0,
45.0,0.1283,0.0,0.0,0.0,0.0,0.0,
46.0,0.13128,0.0,0.0,0.0,0.0,0.0,
47.0,0.13426,0.0,0.0,0.0,0.0,0.0,
48.0,0.13725,0.0,0.0,0.0,0.0,0.0,
49.0,0.14023,0.0,0.0,0.0,0.0,0.0,
50.0,0.14321,0.0,0.0,0.0,0.0,0.0,
51.0,0.1462,0.0,0.0,0.0,0.0,0.0,
52.0,0.14918,0.0,0.0,0.0,0.0,0.0,
53.0,0.15216,0.0,0.0,0.0,0.0,0.0,
54.0,0.15515,0.0,0.0,0.0,0.0,0.0,
55.0,0.15813,0.0,0.0,0.0,0.0,0.0,
56.0,0.16111,0.0,0.0,0.0,0.0,0.0,
57.0,0.1641,0.0,0.0,0.0,0.0,0.0,
58.0,0.16708,0.0,0.0,0.0,0.0,0.0,
59.0,0.17007,0.0,0.0,0.0,0.0,0.0,
60.0,0.17305,0.0,0.0,0.0,0.0,0.0,
61.0,0.17603,0.0,0.0,0.0,0.0,0.0,
62.0,0.17902,0.0,0.0,0.0,0.0,0.0,
